candidate_key,candidate_group,variant_name,encoder_model,phase4_weight,modernbert_weight,logreg_c,cv_macro_f1,cv_std,fold_scores,official_run_id
phase4_modernbert_structured_c2_0_w0_56,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.43999999999999995,0.56,2.0,0.3551911624359369,0.03247755115214715,"[0.361422, 0.413063, 0.352333, 0.325645, 0.323492]",exp_m1_019
phase4_modernbert_structured_c3_5_w0_55,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.44999999999999996,0.55,3.5,0.354019711350137,0.041322341784506146,"[0.361496, 0.431327, 0.333031, 0.31825, 0.325995]",exp_m1_020
phase4_modernbert_structured_c3_5_w0_56,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.43999999999999995,0.56,3.5,0.35304701892162293,0.03952606986823744,"[0.353004, 0.427841, 0.342387, 0.316008, 0.325995]",
phase4_modernbert_structured_c3_0_w0_55,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.44999999999999996,0.55,3.0,0.35189536308084685,0.0391895187490162,"[0.368388, 0.420907, 0.334071, 0.322335, 0.313777]",
phase4_modernbert_structured_c3_5_w0_54,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.45999999999999996,0.54,3.5,0.35157846647835395,0.04322527384915019,"[0.361508, 0.431327, 0.333031, 0.31825, 0.313777]",
phase4_modernbert_structured_c3_0_w0_56,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.43999999999999995,0.56,3.0,0.35137083814897246,0.04421367800295634,"[0.368388, 0.429896, 0.333031, 0.311763, 0.313777]",
phase4_modernbert_structured_c1_5_w0_6,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.4,0.6,1.5,0.35127180327171326,0.0424555569722648,"[0.361422, 0.425039, 0.342063, 0.29671, 0.331125]",
phase4_modernbert_structured_c2_5_w0_58,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.42000000000000004,0.58,2.5,0.35113754930592755,0.044290613764606045,"[0.368388, 0.429846, 0.331914, 0.311763, 0.313777]",
phase4_modernbert_structured_c2_0_w0_55,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.44999999999999996,0.55,2.0,0.35105139877584246,0.03486394736289767,"[0.361422, 0.413063, 0.342063, 0.315216, 0.323492]",
phase4_modernbert_structured_c3_5_w0_52,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.48,0.52,3.5,0.3509372265422023,0.0366237193194471,"[0.346158, 0.420907, 0.334256, 0.339589, 0.313777]",
