title,venue,year,authors,doi,Label,id,abstract
Tabled CLP for Reasoning Over Stream Data.,iclp,2016,"Edmond Jajaga, Lule Ahmedi",10.1109/icsc.2017.64,1,299,"Semantic technologies have been extensively used for integrating stream data applications. However, using SWRL, which has become the de facto standard rule language in Semantic Web, has never been used in stream data applications. Its open world assumption and monotonic nature makes SWRL powerless for doing continuous inference over stream data. For example, using aggregate functions on a particular window of streams cannot be expressed in SWRL. C-SPARQL is a framework which supports continuous querying over data streams. We introduce here C-SWRL, a unified Semantic Web stream reasoning system that further supports continuous reasoning over stream data. C-SWRL utilizes C-SPARQL filtering and aggregation of RDF streams to enable closed-world and time-aware reasoning with SWRL rules. Moreover, the non-monotonic behavior is supported with the use of OWLAPI constructs. The system is presented by means of examples in water quality monitoring."
"XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions.",iclp,2025,"Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo",10.4204/eptcs.439.28,5,92,"We propose an approach to model articles of the Italian Criminal Code (ICC), using Answer Set Programming (ASP), and to semi-automatically learn legal rules from examples based on prior judicial decisions. The developed tool is intended to support legal experts during the criminal trial phase by providing reasoning and possible legal outcomes. The methodology involves analyzing and encoding articles of the ICC in ASP, including ""crimes against the person"" and property offenses. The resulting model is validated on a set of previous verdicts and refined as necessary. During the encoding process, contradictions may arise; these are properly handled by the system, which also generates possible decisions for new cases and provides explanations through a tool that leverages the ""supportedness"" of stable models. The automatic explainability offered by the tool can also be used to clarify the logic behind judicial decisions, making the decision-making process more interpretable. Furthermore, the tool integrates an inductive logic programming system for ASP, which is employed to generalize legal rules from case examples."
"Workshop Proceedings of the 40th International Conference on Logic Programming (ICLP-WS 2024) co-located with the 40th International Conference on Logic Programming (ICLP 2024), Dallas, TX, USA, October 12th and 13th, 2024.",iclp,2024,"Esteban Guerrero, Juan Carlos Nieves",10.1007/978-3-031-74209-5_21,1,311,"Traditionally, in the argumentation theory literature structured arguments are constructed from rules interpretations aiming to build well-supported deductive evidence. Different from other approaches, we emphasize the role of investigating general frameworks that..."
Probabilistic Active Goal Recognition.,kr,2025,"Chenyuan Zhang, Cristian Rojas Cardenas, Hamid Rezatofighi, Mor Vered, Buser Say",10.24963/kr.2025/85,5,136,"In multi-agent environments, effective interaction hinges on understanding the beliefs and intentions of other agents. While prior work on goal recognition has largely treated the observer as a pas..."
Heuristic Strategies for Accelerating Multi-Agent Epistemic Planning.,kr,2024,"Biqing Fang, Fangzhen Lin",10.24963/kr.2024/32,1,41,"Multi-agent epistemic planning (MEP) is about achieving an epistemic goal in a multi-agent environment using agentsâ actions that have epistemic preconditions and effects. Recently, MEP has receive..."
Succinctness and Complexity of ALC with Counting Perceptrons.,kr,2023,"Pietro Galliani, Oliver Kutz, Nicolas Troquard",10.24963/kr.2023/29,3,235,Perceptron operators have been introduced to knowledge representation languages such as description logics in order to define concepts by listing features with associated weights and by giving a th...
Action Languages and COVID-19: Lessons Learned.,iclp,2020,,10.1515/9781503629882-011,2,518,"There must be a way to put both health and care back into health care. Biomedicine is a strong imperial power. But it’s not the only power in the world.Much effort has gone into trying to put the care back in, to take people outside of the efficiency of the hospital and into a more humanized care. It’s seen as expensive. Maybe it is. But the hospital isn’t cheap. What if some of the money that is poured into long and useless hospital-izations  were  spent  on  family  leave?  Home  birth  with  back-up  medical  services  as  needed  can  be  far  cheaper  than putting everyone into hospitals. Hospice care can be cheaper than horrific, isolating, and pointless ICU stays. People in places like Finland and Canada regularly try to tell me that unlike the US they have free care. But it’s not free.  It’s  tax  money  going  to  the  Biomedical  Empire.  Money that could be spent on home care, on caring care.We are, even in the midst of globalization, still a world"
"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.",iclp,2025,Aysu Bogatarkan,10.1609/aaai.v40i48.42143,4,403,"Abstract The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed."
Planning Domain Model Acquisition from State Traces without Action Parameters.,kr,2024,"Tomáš Balyo, Martin Suda, Lukáš Chrpa, Dominik Šafránek, Stephan Gocht, Filip Dvořák, Roman Barták, G. Michael Youngblood",10.24963/kr.2024/76,1,569,Existing planning action domain model acquisition approaches consider different types of state traces from which they learn. The differences in state traces refer to the level of observability of s...
CHRvis: Syntax and Semantics.,iclp,2018,,10.1016/s0092-4563(08)36021-8,1,342,"The year is 2002 and here we are at a symposium on Foundations and the Ontological Quest. The first thing to say is how bleak the present situation is. In foundational studies of mathematics and physics we have been stuck for seventy years; despite numerous books, articles, and meetings, there has been no real progress. Seventy years ago Gödel established his incompleteness theorem [1], destroying the foundational program of David Hilbert [2]. Just a year or two later, Gödel showed [3] that Brouwer’s intuitionism [4], advanced as a correct constructive alternative to an allegedly incorrect classical mathematics, was actually an extension of classical mathematics rather than an alternative to it. In short order Gödel dashed the hopes of the formalists and the intuitionists, seemingly leaving no choice other than blind Platonic belief. I shall say more about this later. Just over seventy years ago, Heisenberg [5] and Schrödinger [6] created quantum mechanics. There have been innumerable attempts to develop a rational understanding of this eminently successful physical theory, but not one of them has met with general acceptance. The foundations of cosmology seem to change radically every few years. It is a field in which, more than in any other science, the problem of separating observational fact from theoretical assumption is refractory. I look forward to learning about foundational problems of cognitive science. I hope there is progress there. But in mathematics and physics there has been little or none in seventy long years."
