Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15610999,QuangNBN2252669,"2026-04-17 07:57:07",0.31732,1,nhatqang1807
2,15637293,nonriv,"2026-04-17 10:23:12",0.30476,1,nonriv
3,15634912,hatakekksheeshh,"2026-04-17 10:22:51",0.28053,2,hatakekksheeshh
4,15567797,BayCho,"2026-04-17 10:24:46",0.22489,2,"chunguyentuananh,hieuwuyen,hitunv,vlhongch"
0,15636444,sample_submission_DM252.csv,"2026-04-17 07:59:17",0.08148,1,
5,15567815,"Le Minh Anh Tuan","2026-04-10 00:56:50",0.00000,2,leminhanhtuan
6,15578377,"Trần Nam Anh","2026-04-10 05:10:32",0.00000,1,namanhathcmut
7,15568098,lamanh_tran,"2026-04-13 01:17:20",0.00000,3,"bngcaothanh,lamanhtran,phatpinkkkk,vcvitanh,vyhlmkhnh"
8,15567822,"QUỐC NGUYỄN HOÀNG","2026-04-15 14:34:06",0.00000,4,"nguynhhngphc,phongdtt,qucnguynhong,vlp135"
9,15568137,"THÀNH NGUYỄN DUY","2026-04-12 11:23:43",0.00000,1,"anhduckkzz,hngngsinh,khnhtrnhong,kientoanhcmut,nguyenduythanh2005"
10,15600496,"QUÂN NGUYỄN MINH","2026-04-13 08:40:43",0.00000,1,qunnguynminh405
11,15589607,"TRƯỜNG TRẦN VĨNH","2026-04-14 16:29:47",0.00000,1,trngtrnvnh
12,15616817,"BÌNH LÊ QUỐC","2026-04-14 17:13:45",0.00000,1,bnhlquc
13,15574580,"ANH LÊ ĐỖ MINH","2026-04-15 16:51:47",0.00000,1,ledominhanh
14,15569228,"we be be","2026-04-16 00:59:57",0.00000,1,"nghingtiu,ngnphmthanhbo,thinlphcminh"
15,15568090,"lonely wolf - Lương Thế Hoàng","2026-04-17 00:26:26",0.00000,2,honglngth
16,15634996,"[Deleted] 3536c0be-36dc-408c-a409-d464538302d2","2026-04-17 03:35:31",0.00000,1,del=f34dfcd266af5885
