fold,model,macro_f1
1,logistic_elasticnet,0.3007539682539683
1,calibrated_linear_svc,0.3053703703703704
1,chi2_linear_svc,0.255598824895812
1,boosting_hist_gradient_boosting,0.2347261387261387
1,weighted_ensemble,0.25818829367975477
2,logistic_elasticnet,0.39010384483530264
2,calibrated_linear_svc,0.3201238477834223
2,chi2_linear_svc,0.3294385313934186
2,boosting_hist_gradient_boosting,0.33359500306492235
2,weighted_ensemble,0.3683180858550317
3,logistic_elasticnet,0.30950279181689133
3,calibrated_linear_svc,0.25436285338458137
3,chi2_linear_svc,0.2385992524099941
3,boosting_hist_gradient_boosting,0.32428162338303546
3,weighted_ensemble,0.29659648493543755
4,logistic_elasticnet,0.2921952316689159
4,calibrated_linear_svc,0.2658557279246934
4,chi2_linear_svc,0.22975277067348682
4,boosting_hist_gradient_boosting,0.2964281740291532
4,weighted_ensemble,0.27699397824397826
5,logistic_elasticnet,0.3103125174484703
5,calibrated_linear_svc,0.2510989010989011
5,chi2_linear_svc,0.23153402153402153
5,boosting_hist_gradient_boosting,0.23380256482423664
5,weighted_ensemble,0.23669631247724557
oof,tuned_weighted_ensemble,0.328686720754231
