title_clean,venue_clean,authors_raw,authors_parsed,authors_is_missing,doi_clean,doi_prefix,doi_suffix_head,doi_suffix_head_missing,Label
tabled clp for reasoning over stream data.,iclp,"Edmond Jajaga, Lule Ahmedi",edmond jajaga | lule ahmedi,0,10.1109/icsc.2017.64,10.1109,icsc,0,1
xai-law: a logic programming tool for modeling explaining and learning legal decisions.,iclp,"Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo",agostino dovier | talissa dreossi | andrea formisano | benedetta strizzolo,0,10.4204/eptcs.439.28,10.4204,eptcs,0,5
workshop proceedings of the 40th international conference on logic programming iclp-ws 2024 co-located with the 40th international conference on logic programming iclp 2024 dallas tx usa october 12th and 13th 2024.,iclp,"Esteban Guerrero, Juan Carlos Nieves",esteban guerrero | juan carlos nieves,0,10.1007/978-3-031-74209-5 21,10.1007,,1,1
probabilistic active goal recognition.,kr,"Chenyuan Zhang, Cristian Rojas Cardenas, Hamid Rezatofighi, Mor Vered, Buser Say",chenyuan zhang | cristian rojas cardenas | hamid rezatofighi | mor vered | buser say,0,10.24963/kr.2025/85,10.24963,kr,0,5
heuristic strategies for accelerating multi-agent epistemic planning.,kr,"Biqing Fang, Fangzhen Lin",biqing fang | fangzhen lin,0,10.24963/kr.2024/32,10.24963,kr,0,1
succinctness and complexity of alc with counting perceptrons.,kr,"Pietro Galliani, Oliver Kutz, Nicolas Troquard",pietro galliani | oliver kutz | nicolas troquard,0,10.24963/kr.2023/29,10.24963,kr,0,3
action languages and covid-19: lessons learned.,iclp,,,1,10.1515/9781503629882-011,10.1515,,1,2
flexible lifelong explainable and robust solutions for multi-agent path finding problems.,iclp,Aysu Bogatarkan,aysu bogatarkan,0,10.1609/aaai.v40i48.42143,10.1609,aaai,0,4
planning domain model acquisition from state traces without action parameters.,kr,"Tomáš Balyo, Martin Suda, Lukáš Chrpa, Dominik Šafránek, Stephan Gocht, Filip Dvořák, Roman Barták, G. Michael Youngblood",tom balyo | martin suda | luk chrpa | dominik afr nek | stephan gocht | filip dvo k | roman bart k | g. michael youngblood,0,10.24963/kr.2024/76,10.24963,kr,0,1
chrvis: syntax and semantics.,iclp,,,1,10.1016/s0092-4563 08 36021-8,10.1016,s,0,1
