title_char_count,title_word_count,title_avg_word_length,title_has_colon,title_has_question,year_is_missing,year_normalized,paper_age,has_doi,doi_length,doi_digit_count,doi_slash_count,doi_dot_count,doi_suffix_head_missing,venue_iclp,venue_kr,doi_prefix_10.1002,doi_prefix_10.1007,doi_prefix_10.1016,doi_prefix_10.1017,doi_prefix_10.1093,doi_prefix_10.1098,doi_prefix_10.1109,doi_prefix_10.1145,doi_prefix_10.1201,doi_prefix_10.14711,doi_prefix_10.1484,doi_prefix_10.1515,doi_prefix_10.1609,doi_prefix_10.1613,doi_prefix_10.20944,doi_prefix_10.21236,doi_prefix_10.2139,doi_prefix_10.24963,doi_prefix_10.25368,doi_prefix_10.29007,doi_prefix_10.3233,doi_prefix_10.3403,doi_prefix_10.4018,doi_prefix_10.4204,doi_prefix_10.4324,doi_prefix_10.5220,doi_prefix_10.7551,doi_prefix___rare__,doi_suffix_head___missing__,doi_suffix_head___rare__,doi_suffix_head_aaai,doi_suffix_head_ada,doi_suffix_head_aic,doi_suffix_head_b,doi_suffix_head_bfb,doi_suffix_head_c,doi_suffix_head_cbo,doi_suffix_head_ch,doi_suffix_head_eptcs,doi_suffix_head_ijcai,doi_suffix_head_j,doi_suffix_head_jair,doi_suffix_head_kr,doi_suffix_head_m,doi_suffix_head_mitpress,doi_suffix_head_oso,doi_suffix_head_preprints,doi_suffix_head_rsos,doi_suffix_head_s,doi_suffix_head_ssrn,doi_suffix_head_thesis,Label
42,7,5.142857142857143,0,0,0,-2.6621395484349333,10.0,1,20,12,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,12,6.5,1,0,0,0.9712890948349158,1.0,1,20,11,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
223,31,6.225806451612903,0,0,0,0.5675748011382659,2.0,1,28,21,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,4,8.75,0,0,0,0.9712890948349158,1.0,1,19,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
69,7,9.0,0,0,0,0.5675748011382659,2.0,1,19,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
61,8,6.75,0,0,0,0.16386050744161598,3.0,1,19,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
47,6,7.0,1,0,0,-1.0472823736483337,6.0,1,25,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
92,11,7.454545454545454,0,0,0,0.9712890948349158,1.0,1,25,15,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
78,10,6.9,0,0,0,0.5675748011382659,2.0,1,19,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
29,4,6.5,1,0,0,-1.8547109610416335,8.0,1,29,22,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
